appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
396,1187300,40000,2,20200110091500000,2,,
632,1175000,50000,2,20200110091500010,2,,
1272,1200000,10000,2,20200110091500020,2,,
807,1186300,10000,2,20200110091500020,2,,
808,1190500,10000,2,20200110091500020,2,,
809,1196500,10000,2,20200110091500020,2,,
850,1190100,70000,1,20200110091500020,2,,
851,1190100,70000,1,20200110091500020,2,,
931,1161800,10000,2,20200110091500020,2,,
932,1150000,10000,1,20200110091500020,2,,
1912,1180000,30000,2,20200110091500030,2,,
1913,1185000,30000,2,20200110091500030,2,,
2157,1150000,10000,1,20200110091500030,2,,
2158,1140000,20000,1,20200110091500030,2,,
2162,1130000,30000,1,20200110091500030,2,,
2714,1178800,10000,2,20200110091500040,2,,
2736,1188700,10000,2,20200110091500040,2,,
2850,1199900,10000,2,20200110091500050,2,,
2908,1212100,20000,2,20200110091500050,2,,
3436,1201000,60000,2,20200110091500060,2,,
3439,1130000,80000,1,20200110091500060,2,,
3606,1258900,10000,2,20200110091500060,2,,
3694,1282500,220000,2,20200110091500060,2,,
4061,1179500,10000,2,20200110091500070,2,,
4119,1178000,10000,2,20200110091500070,2,,
4123,1189500,10000,2,20200110091500070,2,,
4171,1189500,10000,2,20200110091500070,2,,
4179,1199500,10000,2,20200110091500070,2,,
4186,1209500,10000,2,20200110091500070,2,,
4225,1219500,10000,2,20200110091500070,2,,
4252,1229500,10000,2,20200110091500070,2,,
4258,1239500,10000,2,20200110091500070,2,,
4275,1249500,10000,2,20200110091500070,2,,
4294,1259500,10000,2,20200110091500070,2,,
4302,1269500,10000,2,20200110091500070,2,,
4304,1282500,10000,2,20200110091500070,2,,
4588,1121000,10000,1,20200110091500080,2,,
5275,1199800,710000,2,20200110091500100,2,,
5778,1199500,10000,2,20200110091500110,2,,
5804,1282500,800000,2,20200110091500110,2,,
7206,1200000,10000,2,20200110091500150,2,,
7254,1144100,10000,1,20200110091500150,2,,
7405,1282000,20000,2,20200110091500150,2,,
7977,1238900,20000,2,20200110091500160,2,,
8016,1270000,10000,2,20200110091500160,2,,
8190,1141300,10000,1,20200110091500170,2,,
8192,1199700,10000,2,20200110091500170,2,,
8230,1234500,10000,2,20200110091500170,2,,
8331,1188800,10000,2,20200110091500170,2,,
9327,1224300,10000,1,20200110091500190,2,,
9679,1282600,130000,2,20200110091500200,2,,
9943,1210000,590000,2,20200110091500200,2,,
9952,1107600,46600,2,20200110091500200,2,,
9953,1107600,1800,2,20200110091500200,2,,
10532,1248800,20000,2,20200110091500210,2,,
10783,1200000,10000,2,20200110091500210,2,,
10790,1189600,10000,2,20200110091500210,2,,
11635,1195000,10000,2,20200110091500230,2,,
11781,1189600,10000,2,20200110091500230,2,,
12315,1224300,40000,2,20200110091500250,2,,
13612,1166000,10000,1,20200110091500270,2,,
14047,1122000,10000,1,20200110091500270,2,,
14337,1105000,60000,1,20200110091500280,2,,
15381,1200000,30000,2,20200110091500300,2,,
16449,1185900,10000,2,20200110091500320,2,,
16630,1130700,40000,1,20200110091500330,2,,
16632,1175700,20000,2,20200110091500330,2,,
16633,1190700,20000,2,20200110091500330,2,,
16639,1205700,20000,2,20200110091500330,2,,
18149,1260000,10000,2,20200110091500350,2,,
18458,1181500,20000,2,20200110091500360,2,,
18512,1142100,6740000,1,20200110091500360,2,,
18513,1141100,6870000,1,20200110091500360,2,,
18707,1278800,10000,2,20200110091500360,2,,
19084,1270000,10000,2,20200110091500370,2,,
19402,1155000,10000,1,20200110091500380,2,,
19404,1160000,10000,1,20200110091500380,2,,
19605,1175900,10000,2,20200110091500380,2,,
22008,1179600,10000,2,20200110091500430,2,,
22009,1199600,10000,2,20200110091500430,2,,
22011,1151200,10000,1,20200110091500430,2,,
22508,1200000,30000,1,20200110091500440,2,,
23886,1199300,200000,2,20200110091500470,2,,
23887,1130200,200000,1,20200110091500470,2,,
25171,1179600,10000,2,20200110091500490,2,,
26812,1230000,30000,2,20200110091500520,2,,
27011,1212500,10000,2,20200110091500530,2,,
27012,1249800,10000,2,20200110091500530,2,,
27013,1268800,10000,2,20200110091500530,2,,
27014,1282400,20000,2,20200110091500530,2,,
27444,1150000,10000,1,20200110091500540,2,,
27817,1165900,10000,2,20200110091500550,2,,
28242,1155600,10000,1,20200110091500560,2,,
29259,1189000,10000,2,20200110091500580,2,,
29814,1134000,70000,1,20200110091500600,2,,
29838,1200000,20000,2,20200110091500600,2,,
30387,1209700,10000,2,20200110091500610,2,,
30870,1199000,40000,2,20200110091500620,2,,
30971,1240000,50000,2,20200110091500620,2,,
31352,1200000,10000,2,20200110091500630,2,,
31604,1192000,10000,2,20200110091500640,2,,
32857,1136000,10000,1,20200110091500670,2,,
34348,1123000,50000,1,20200110091500700,2,,
34388,1226000,10000,2,20200110091500700,2,,
34389,1120000,10000,1,20200110091500700,2,,
34391,1100000,10000,1,20200110091500700,2,,
35043,1260000,80000,2,20200110091500710,2,,
35116,1282600,20000,2,20200110091500710,2,,
35347,1194900,10000,2,20200110091500720,2,,
35349,1281900,10000,2,20200110091500720,2,,
35382,1200000,20000,2,20200110091500720,2,,
35384,1150000,20000,1,20200110091500720,2,,
35613,1195900,30000,2,20200110091500720,2,,
36816,1150500,20000,1,20200110091500750,2,,
36817,1140400,20000,1,20200110091500750,2,,
36979,1250000,30000,2,20200110091500760,2,,
37477,1110000,10000,1,20200110091500770,2,,
37478,1070000,10000,1,20200110091500770,2,,
38432,1282600,10800,2,20200110091500790,2,,
38885,1166100,50000,1,20200110091500800,2,,
39515,1200000,10000,2,20200110091500820,2,,
40076,1160000,20000,1,20200110091500830,2,,
40539,1263300,20000,2,20200110091500840,2,,
41055,1200000,30000,2,20200110091500860,2,,
41091,1186800,20000,2,20200110091500860,2,,
41364,1189400,100000,2,20200110091500870,2,,
41379,1179800,10000,2,20200110091500870,2,,
41380,1189800,10000,2,20200110091500870,2,,
41381,1199800,10000,2,20200110091500870,2,,
41440,1149800,50000,1,20200110091500870,2,,
41456,1179800,20000,2,20200110091500870,2,,
41457,1189800,20000,2,20200110091500870,2,,
41458,1199800,30000,2,20200110091500870,2,,
41464,1149800,50000,1,20200110091500870,2,,
41468,1179800,50000,2,20200110091500870,2,,
41469,1189800,50000,2,20200110091500870,2,,
41470,1199800,50000,2,20200110091500870,2,,
41477,1159800,50000,1,20200110091500870,2,,
41478,1149800,100000,1,20200110091500870,2,,
41634,1199900,10000,2,20200110091500870,2,,
41700,1185900,160000,2,20200110091500870,2,,
41701,1195900,110000,2,20200110091500870,2,,
41709,1278900,140000,2,20200110091500870,2,,
41994,1201000,10000,2,20200110091500880,2,,
41995,1213100,10000,2,20200110091500880,2,,
42795,1179800,50000,2,20200110091500910,2,,
42796,1189800,50000,2,20200110091500910,2,,
42843,1223700,20000,2,20200110091500910,2,,
42844,1243700,20000,2,20200110091500910,2,,
42845,1267700,20000,2,20200110091500910,2,,
43261,1220000,50000,2,20200110091500930,2,,
43522,1130200,10000,1,20200110091500930,2,,
43624,1199000,10000,2,20200110091500930,2,,
43962,1166000,170000,2,20200110091500940,2,,
