appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
1052,885000,10000,2,20200110091500020,2,,
1053,800000,30000,1,20200110091500020,2,,
1054,820000,20000,1,20200110091500020,2,,
1565,890000,100000,2,20200110091500030,2,,
2810,842800,90000,1,20200110091500040,2,,
3462,934300,30000,1,20200110091500060,2,,
4821,900000,30000,2,20200110091500080,2,,
5095,850900,30000,2,20200110091500090,2,,
5220,872500,20000,2,20200110091500090,2,,
7571,888000,10000,2,20200110091500150,2,,
7675,936100,40000,2,20200110091500160,2,,
7996,812700,10000,2,20200110091500160,2,,
8124,900000,30000,2,20200110091500170,2,,
8754,893500,10000,1,20200110091500180,2,,
10470,865600,100000,2,20200110091500210,2,,
10471,875800,150000,2,20200110091500210,2,,
10472,885800,200000,2,20200110091500210,2,,
10473,835800,50000,1,20200110091500210,2,,
10474,830800,60000,1,20200110091500210,2,,
10475,825800,70000,1,20200110091500210,2,,
10729,862000,60000,2,20200110091500210,2,,
10730,880000,100000,2,20200110091500210,2,,
11400,914800,10000,2,20200110091500230,2,,
11404,803100,10000,1,20200110091500230,2,,
12032,817000,50000,1,20200110091500240,2,,
12034,890000,50000,2,20200110091500240,2,,
13662,851000,10000,1,20200110091500270,2,,
14259,840000,10000,1,20200110091500280,2,,
15194,885000,10000,2,20200110091500300,2,,
16356,774400,10000,2,20200110091500320,2,,
17355,851000,10000,1,20200110091500340,2,,
17356,846700,10000,1,20200110091500340,2,,
17362,842400,10000,1,20200110091500340,2,,
17400,838100,10000,1,20200110091500340,2,,
17976,830000,10000,1,20200110091500350,2,,
17982,820000,10000,1,20200110091500350,2,,
19215,860000,20000,2,20200110091500370,2,,
20579,823000,50000,1,20200110091500400,2,,
21317,853500,60000,2,20200110091500420,2,,
27807,864800,100000,2,20200110091500550,2,,
28038,883700,30000,2,20200110091500560,2,,
28039,894500,50000,2,20200110091500560,2,,
28473,835000,10000,1,20200110091500570,2,,
28551,831500,10000,1,20200110091500570,2,,
29138,781400,20000,1,20200110091500570,2,,
29139,933300,10000,2,20200110091500570,2,,
29154,781400,20000,1,20200110091500570,2,,
29155,933300,10000,2,20200110091500570,2,,
30643,880600,10000,2,20200110091500610,2,,
31728,851000,30000,1,20200110091500630,2,,
32339,869900,10000,2,20200110091500650,2,,
32894,902100,10000,1,20200110091500660,2,,
34120,854900,327500,2,20200110091500690,2,,
34121,859900,500000,2,20200110091500690,2,,
35024,878000,20000,2,20200110091500710,2,,
35540,900000,50000,2,20200110091500720,2,,
37918,820500,20000,1,20200110091500780,2,,
37925,859500,20000,2,20200110091500780,2,,
37927,802100,20000,1,20200110091500780,2,,
39603,781400,20000,1,20200110091500810,2,,
40489,888000,30000,2,20200110091500830,2,,
42978,925000,100000,2,20200110091500910,2,,
43900,927800,30000,2,20200110091500930,2,,
45968,860000,300000,2,20200110091500990,2,,
48473,868000,200000,2,20200110091501030,2,,
48875,831000,10000,1,20200110091501040,2,,
49537,863000,20000,2,20200110091501060,2,,
53161,850000,20000,1,20200110091501150,2,,
54628,863500,200000,2,20200110091501190,2,,
54825,852700,20000,2,20200110091501190,2,,
55969,826900,10000,1,20200110091501230,2,,
57364,840100,40000,1,20200110091501280,2,,
59507,840000,200000,1,20200110091501350,2,,
60866,890000,10000,2,20200110091501400,2,,
60899,900000,10000,2,20200110091501400,2,,
61933,841000,10000,1,20200110091501440,2,,
62153,855000,10000,2,20200110091501440,2,,
64192,888800,20000,2,20200110091501510,2,,
64487,933300,20000,2,20200110091501530,2,,
64545,896000,28000,2,20200110091501530,2,,
64754,791700,10000,1,20200110091501530,2,,
65199,922900,10000,2,20200110091501550,2,,
65202,888800,10000,2,20200110091501550,2,,
65450,858900,30000,2,20200110091501560,2,,
66527,888000,10000,2,20200110091501600,2,,
68265,775800,10000,1,20200110091501650,2,,
70448,885000,20000,2,20200110091501710,2,,
70483,840000,50000,1,20200110091501710,2,,
71462,880800,40000,2,20200110091501740,2,,
71642,862500,120000,2,20200110091501750,2,,
71643,841000,120000,1,20200110091501750,2,,
72128,805800,10000,1,20200110091501770,2,,
