appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
1545,219400,200000,2,20200110091500030,2,,
2126,226500,10000,2,20200110091500030,2,,
3701,219900,120000,2,20200110091500060,2,,
4516,200600,120000,1,20200110091500080,2,,
5112,227200,60000,2,20200110091500090,2,,
5121,219900,120000,2,20200110091500090,2,,
5251,200600,60000,1,20200110091500100,2,,
6955,206600,50000,1,20200110091500140,2,,
7906,200000,200000,1,20200110091500160,2,,
11157,208300,500000,2,20200110091500220,2,,
18296,196000,20000,1,20200110091500360,2,,
18330,191500,30000,1,20200110091500360,2,,
19349,201100,50000,1,20200110091500380,2,,
26114,200500,20000,1,20200110091500510,2,,
26115,199800,20000,1,20200110091500510,2,,
27803,217000,6000,2,20200110091500550,2,,
29380,226300,20000,2,20200110091500580,2,,
34386,216400,80000,2,20200110091500700,2,,
35034,209800,120000,2,20200110091500710,2,,
37959,206500,70000,1,20200110091500780,2,,
38210,215000,110000,2,20200110091500790,2,,
38371,227200,204000,2,20200110091500790,2,,
39793,215000,200000,2,20200110091500820,2,,
43639,191200,40000,1,20200110091500930,2,,
51937,204000,400000,1,20200110091501120,2,,
54898,202200,200000,1,20200110091501200,2,,
58782,201000,40000,1,20200110091501340,2,,
62483,227200,57500,2,20200110091501460,2,,
65713,210500,50000,2,20200110091501580,2,,
67103,203500,80000,1,20200110091501630,2,,
67545,216500,38000,2,20200110091501630,2,,
69193,200200,10000,1,20200110091501690,2,,
69199,195900,10000,1,20200110091501690,2,,
73482,215000,40000,2,20200110091501860,2,,
73483,220000,28000,2,20200110091501860,2,,
74264,203500,100000,1,20200110091501890,2,,
74266,202100,100000,1,20200110091501890,2,,
74282,189500,300000,1,20200110091501890,2,,
74342,222500,30000,2,20200110091501890,2,,
75798,227200,20000,2,20200110091501940,2,,
80211,219800,10000,2,20200110091502100,2,,
80212,225600,7500,2,20200110091502100,2,,
80422,210000,1000000,2,20200110091502100,2,,
81494,221000,10000,2,20200110091502140,2,,
83194,209000,10000,2,20200110091502210,2,,
83724,227200,25500,2,20200110091502230,2,,
86810,208500,270000,2,20200110091502340,2,,
90497,210000,40000,2,20200110091502490,2,,
92583,200000,30000,1,20200110091502560,2,,
93304,208500,500000,2,20200110091502590,2,,
93305,209500,500000,2,20200110091502590,2,,
97709,213000,230000,2,20200110091502770,2,,
98642,210800,40000,2,20200110091502830,2,,
99832,203100,100000,1,20200110091502870,2,,
102521,226300,20000,2,20200110091503010,2,,
102776,215800,100000,2,20200110091503020,2,,
106029,225800,200000,2,20200110091503190,2,,
117537,202100,50000,1,20200110091503950,2,,
119259,209000,250000,2,20200110091504070,2,,
119674,219900,127500,2,20200110091504110,2,,
123250,209900,30000,2,20200110091504480,2,,
124076,203500,150000,1,20200110091504550,2,,
124077,203600,150000,1,20200110091504550,2,,
124080,202500,150000,1,20200110091504550,2,,
124082,202100,150000,1,20200110091504550,2,,
124084,194800,250000,1,20200110091504550,2,,
124085,193200,250000,1,20200110091504550,2,,
124086,186700,500000,1,20200110091504550,2,,
124088,187200,500000,1,20200110091504550,2,,
131572,215000,30000,2,20200110091505450,2,,
131643,192000,100000,1,20200110091505460,2,,
132467,211600,100000,2,20200110091505600,2,,
135260,216800,80000,2,20200110091506070,2,,
139613,200100,200000,1,20200110091507560,2,,
142304,208000,500000,2,20200110091509540,2,,
142306,207800,500000,2,20200110091509540,2,,
142386,208000,860000,2,20200110091509560,2,,
142904,207500,50000,2,20200110091510430,2,,
142912,208500,50000,2,20200110091510440,2,,
143518,209200,340000,2,20200110091511540,2,,
148433,211800,50000,2,20200110091556440,2,,
150595,202100,20000,1,20200110091616600,2,,
152842,227200,130000,2,20200110091634630,2,,
158113,201000,50000,1,20200110091712550,2,,
160810,215000,60000,2,20200110091731690,2,,
170109,202000,380000,1,20200110091828970,2,,
174241,202000,50000,1,20200110091851900,2,,
175523,200000,50000,1,20200110091859290,2,,
182892,227100,260000,2,20200110091937170,2,,
192441,200000,100000,1,20200110092026740,2,,
194214,216700,20000,2,20200110092034470,2,,
194215,189300,20000,1,20200110092034480,2,,
200837,209200,10000,2,20200110092108300,2,,
203853,200000,100000,1,20200110092123220,2,,
204090,206500,140000,2,20200110092124430,2,,
205378,203500,10000,1,20200110092130500,2,,
207246,203800,10000,1,20200110092138950,2,,
207475,213500,500000,2,20200110092139840,2,,
216197,206500,40000,2,20200110092217920,2,,
