appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
568,60000,500000,1,20200110091500020,2,,
583,62800,500000,2,20200110091500020,2,,
1182,65000,150000,2,20200110091500030,2,,
2126,63500,40000,2,20200110091500040,2,,
2127,65000,40000,2,20200110091500040,2,,
2131,67000,30000,2,20200110091500040,2,,
3963,64900,380000,2,20200110091500080,2,,
5240,63900,150000,2,20200110091500110,2,,
5860,67200,2000000,2,20200110091500120,2,,
8107,59000,40000,1,20200110091500180,2,,
8108,57000,50000,1,20200110091500180,2,,
8109,56000,50000,1,20200110091500180,2,,
8110,63000,40000,2,20200110091500180,2,,
8113,67000,40000,2,20200110091500180,2,,
9830,67400,370000,2,20200110091500200,2,,
10122,59300,3000000,1,20200110091500210,2,,
10123,64400,4000000,2,20200110091500210,2,,
11160,59500,260000,2,20200110091500230,2,,
12047,61900,50000,2,20200110091500250,2,,
13581,63500,10000,2,20200110091500270,2,,
15859,62500,10000,2,20200110091500320,2,,
15887,67400,100000,2,20200110091500320,2,,
16105,60600,180000,1,20200110091500320,2,,
20148,57800,600000,1,20200110091500400,2,,
20273,63000,190000,2,20200110091500400,2,,
20274,63800,290000,2,20200110091500400,2,,
20791,67400,30000,2,20200110091500410,2,,
22051,62800,190000,2,20200110091500430,2,,
23001,66600,30000,2,20200110091500450,2,,
24149,67400,50000,2,20200110091500470,2,,
24229,59500,100000,1,20200110091500470,2,,
26665,62500,100000,2,20200110091500520,2,,
26682,63100,100000,2,20200110091500520,2,,
26689,63800,100000,2,20200110091500520,2,,
28634,62000,560000,2,20200110091500570,2,,
28635,62600,500000,2,20200110091500570,2,,
30278,61300,20000,2,20200110091500600,2,,
34030,58000,50000,1,20200110091500690,2,,
34031,64000,40000,2,20200110091500690,2,,
34032,65000,40000,2,20200110091500690,2,,
34033,66000,40000,2,20200110091500690,2,,
35918,67400,200000,2,20200110091500720,2,,
35948,67400,50000,2,20200110091500720,2,,
37341,60200,410000,1,20200110091500760,2,,
38437,65900,10000,2,20200110091500790,2,,
38440,67000,20000,2,20200110091500790,2,,
39335,63000,1510000,2,20200110091500810,2,,
39739,63600,100000,2,20200110091500820,2,,
39791,66000,30000,2,20200110091500820,2,,
42466,62600,50000,2,20200110091500890,2,,
42471,66600,100000,2,20200110091500890,2,,
44229,62500,40000,2,20200110091500930,2,,
44568,59800,1730000,1,20200110091500940,2,,
45164,64500,120000,2,20200110091500960,2,,
46792,67300,320000,2,20200110091501000,2,,
47228,67400,550000,2,20200110091501000,2,,
47999,60500,20000,1,20200110091501020,2,,
48031,58800,2000000,1,20200110091501020,2,,
50299,59000,100000,1,20200110091501050,2,,
53293,67000,300000,2,20200110091501120,2,,
54233,67100,10000,2,20200110091501140,2,,
54234,66800,10000,2,20200110091501140,2,,
58331,60900,1590000,1,20200110091501270,2,,
60013,65300,10000,2,20200110091501320,2,,
61612,63800,60000,2,20200110091501380,2,,
62841,63800,100000,2,20200110091501420,2,,
62842,66800,400000,2,20200110091501420,2,,
63038,60800,100000,1,20200110091501430,2,,
63044,60500,150000,1,20200110091501430,2,,
63629,55200,380000,1,20200110091501440,2,,
65106,62400,340000,2,20200110091501480,2,,
65680,57800,1600000,1,20200110091501510,2,,
66207,61700,1000000,2,20200110091501530,2,,
66210,61900,2000000,2,20200110091501530,2,,
68290,61300,10000,1,20200110091501600,2,,
68643,61500,900000,1,20200110091501610,2,,
69023,55300,10000,1,20200110091501630,2,,
71697,62400,200000,2,20200110091501690,2,,
77383,67400,1020000,2,20200110091501910,2,,
77859,65000,50000,2,20200110091501930,2,,
82855,62300,200000,2,20200110091502090,2,,
82976,62200,10000,2,20200110091502090,2,,
84169,67400,50000,2,20200110091502130,2,,
84616,67400,130000,2,20200110091502150,2,,
85095,66600,30000,2,20200110091502170,2,,
85674,65000,40000,2,20200110091502180,2,,
87220,62900,100000,2,20200110091502240,2,,
88050,63900,960000,2,20200110091502270,2,,
89744,63800,681100,2,20200110091502340,2,,
89829,64000,50000,2,20200110091502340,2,,
92029,64800,50000,2,20200110091502430,2,,
92031,66800,50000,2,20200110091502430,2,,
92294,61000,4050000,1,20200110091502440,2,,
92840,60100,100000,1,20200110091502460,2,,
92881,60600,100000,1,20200110091502460,2,,
93129,66100,280000,2,20200110091502470,2,,
93409,65300,300000,2,20200110091502480,2,,
93412,60600,100000,1,20200110091502480,2,,
93879,61200,10000,2,20200110091502490,2,,
94259,67400,200000,2,20200110091502510,2,,
